GENEID	F01counts	C01counts	E01counts	G01counts	H01counts	D01counts
ENSG00000007202	295	465	125	575	45	465
ENSG00000007216	0	0	0	0	0	0
ENSG00000007237	0	0	0	2	0	0
ENSG00000007255	1395	1474	1	903	1767	1474
ENSG00000007264	531	9	21	66	0	9
ENSG00000007306	0	0	0	0	0	0
ENSG00000007312	0	0	0	66	0	0
ENSG00000007314	0	0	0	0	0	0
ENSG00000007341	338	164	0	420	160	164
ENSG00000007350	0	452	0	0	0	452
ENSG00000007372	0	0	0	0	0	0
ENSG00000007376	1631	1054	0	1409	2440	1054
ENSG00000007384	0	1	0	0	1	1
ENSG00000007392	2375	1711	5764	2027	1669	1711
ENSG00000007402	140	223	1	43	334	223
ENSG00000007516	0	6	1	2	5	6
ENSG00000007520	484	1485	1197	743	2028	1485
ENSG00000007541	2850	2469	223	2035	1914	2469
ENSG00000007545	543	71	0	135	4	71
ENSG00000007866	0	0	0	0	0	0
ENSG00000007908	0	1	0	0	0	1
ENSG00000007923	1108	1616	4	3168	14	1616
ENSG00000007933	0	0	0	0	1	0
ENSG00000007944	2330	712	1	920	13	712
ENSG00000007952	220	0	6	0	0	0
ENSG00000007968	0	0	0	0	0	0
ENSG00000008018	3601	5271	3378	5436	5634	5271
ENSG00000008056	0	1	0	0	0	1
ENSG00000008083	1029	873	1	859	38	873
ENSG00000008086	0	2	0	40	0	2
ENSG00000008118	0	0	0	0	0	0
ENSG00000008128	347	144	206	144	174	144
ENSG00000008130	1196	982	54	423	4576	982
ENSG00000008196	0	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0
ENSG00000008226	0	172	0	70	1	172
ENSG00000008256	4	1428	0	460	4006	1428
ENSG00000008277	1	49	0	0	0	49
ENSG00000008282	2227	1970	0	2471	4821	1970
ENSG00000008283	575	1040	419	1153	0	1040
ENSG00000008294	1468	307	1654	1553	77	307
ENSG00000008300	0	1	7	149	0	1
ENSG00000008311	97	253	3	584	0	253
ENSG00000008323	261	0	0	81	0	0
ENSG00000008324	2127	1673	0	1239	1947	1673
ENSG00000008382	1444	620	7	373	2288	620
ENSG00000008394	0	2	0	0	2	2
ENSG00000008405	929	1964	1981	1864	7	1964
ENSG00000008438	0	0	0	0	0	0
ENSG00000008441	408	208	7	98	0	208
ENSG00000008513	3292	2408	0	4011	11	2408
ENSG00000008516	113	81	0	245	578	81
ENSG00000008517	6509	5162	8896	6119	24650	5162
ENSG00000008710	339	184	2341	278	28	184
ENSG00000008735	0	0	0	0	0	0
ENSG00000008838	1203	291	8860	1312	1692	291
ENSG00000008853	0	1	0	0	0	1
ENSG00000008869	587	537	0	2049	1	537
ENSG00000008952	8416	6882	6864	7746	11117	6882
ENSG00000008988	12093	10112	2415	7943	5987	10112
ENSG00000009307	28910	16869	32384	21973	7656	16869
ENSG00000009335	36	1205	2	860	5401	1205
ENSG00000009413	2957	3213	4936	1312	190	3213
ENSG00000009694	46	124	0	6	0	124
ENSG00000009709	0	0	14	0	0	0
ENSG00000009724	1	1	1	4	0	1
ENSG00000009765	0	0	0	0	0	0
ENSG00000009780	1104	2054	15	1298	4824	2054
ENSG00000009790	6589	4328	4703	9702	10598	4328
ENSG00000009830	0	97	14	5	9	97
ENSG00000009844	2466	2711	81	3719	1	2711
ENSG00000009950	0	0	0	0	0	0
ENSG00000009954	1084	2029	14	1397	9	2029
ENSG00000010017	3000	2804	22	2738	109	2804
ENSG00000010030	0	0	42	0	5681	0
ENSG00000010072	377	347	0	479	0	347
ENSG00000010165	1880	2034	2	2388	0	2034
ENSG00000010219	140	20	0	145	805	20
ENSG00000010244	5853	6077	2810	6900	6851	6077
ENSG00000010256	3076	4848	14	4824	2993	4848
ENSG00000010270	1348	1486	1	1918	1346	1486
ENSG00000010278	0	2	0	0	0	2
ENSG00000010282	0	0	0	0	0	0
ENSG00000010292	1658	515	0	1866	7	515
